cust_id,gender,age_group,age,nationality,segment,duration,city,district,owns_house,owns_car,marital_status,no_of_kids,profession,profession_subclass,uses_branch,uses_CDM,uses_credit_card,uses_debit_card,uses_ATM,uses_mobile_and_online_banking,income,credit_score,no_of_branch_txn,no_of_cdm_txn,no_of_atm_txn,no_of_cc_txn,no_of_dc_txn,no_of_online_txn,max_txn_cat1,max_txn_cat2,max_txn_cat3,no_of_txn_cat1,no_of_txn_cat2,no_of_txn_cat3,amt_spent_cat1,amt_spent_cat2,amt_spent_cat3,total_no_of_txn,amt_in_sav_acc,max_amt_in_sav_acc,amt_in_curr_acc,max_amt_in_curr_acc,no_of_debits_sav_acc,no_of_debits_curr_acc,no_of_yearly_txn,credit_cards,loans,insurance,accounts_and_deposits
C11114,Female,30-39,35,Ugandan,Silver,10,Mubende,Mubende,0,0,Married,3,Lawyer,Clerkship,0,0,0,1,1,0,1273007,567,2,3,21,3,27,1,Entertainment,Domestic Airlines,Dining,30,9,9,65497,43810,31071,57,399991,437872,851394,936232,5,15,5,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']","['home loan', 'car loan']","['travel insurance', 'maternity insurance']","['savings account', 'salary account']"
C11115,Female,40-49,40,Ugandan,Gold,10,Mbarara,Mbarara,0,0,Divorced,2,Lawyer,Public Service,0,0,1,0,0,0,2169151,926,1,3,2,21,1,2,Dining,Bills,Travel,21,18,15,961281,509018,452000,30,1180473,1381990,453393,944720,7,19,2,"['Emirates BankBuddy Bank Select Titanium', 'Uber BankBuddy Credit Card', 'Bankbuddy Women Credit Card']","['home loan', 'car loan', 'health loan']",['medical insurance'],"['savings account', 'salary account', 'securities account']"
C11116,Male,<20,16,Ugandan,Gold,1,Kira Town,Wakiso,1,0,Single,0,Lawyer,Law Student,0,1,1,1,0,0,77791,562,2,12,3,12,6,2,Entertainment,Airlines,International Airlines,12,9,3,76404,57595,44347,37,503013,781810,882081,1465739,1,8,3,"['Total BankBuddy Bank Credit Card', 'Emirates BankBuddy Bank Platinum', 'Walmart BankBuddy Signature']","['laptop loan', 'education loan']","['travel insurance', 'education insurance']",['term account']
C11117,Male,50-59,52,Ugandan,Wealth,1,Njeru,Buikwe,0,0,Widowed,2,Lawyer,Magistrate Grade,0,0,1,1,0,0,4100360,753,2,3,1,18,24,3,Golf,Utilities,Hobby,18,18,9,108331,54364,31083,51,118371,492687,1192680,1247594,9,13,4,"['Diners Club Black Credit Card', 'Diners Club Rewardz Credit Card', 'Superia Credit Card', 'Diners Club Premium Credit Card']","['home loan', 'health loan']","['medical insurance', 'health insurance']","['savings account', 'salary account', 'securities account']"
C11118,Female,>60,74,Ugandan,Gold,9,Mityana,Mityana,0,0,Divorced,3,Lawyer,C-Level Executive,0,0,1,1,1,0,3420888,915,3,2,30,21,9,2,Utilities,Bills,Groceries,30,27,18,183111,153810,133813,67,909340,1020907,1254574,1365802,9,17,6,"['Emirates BankBuddy Bank Select Titanium', 'SouthWest BankBuddy Bank Credit Card', 'Uber BankBuddy Credit Card']","['home loan', 'health loan']","['medical insurance', 'senior health insurance']","['savings account', 'no minimum balance']"
C11119,Male,>60,68,Ugandan,Silver,9,Kampala,Kampala,0,0,Widowed,0,Lawyer,Magistrate Grade,0,0,0,0,1,0,1438744,786,2,2,12,3,2,2,Utilities,Bills,Entertainment,18,15,12,56885,30269,29145,23,187123,311770,528686,695563,6,14,1,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card']",['home loan'],"['medical insurance', 'retirement insurance']","['savings account', 'no minimum balance', 'fixed deposit']"
C11120,Male,>60,63,Ugandan,Silver,9,Mbarara,Mbarara,1,0,Widowed,2,Lawyer,Corporate,0,0,1,1,0,0,1523636,639,1,1,3,9,30,3,Home,Entertainment,Utilities,24,12,12,82163,50329,45561,47,376301,474093,777005,802288,5,14,4,"['Best Price Save Max Credit Card', 'MoneyBack Credit Card']","['home loan', 'health loan']",['medical insurance'],"['savings account', 'no minimum balance']"
C11121,Male,50-59,58,Ugandan,Silver,10,Jinja,Jinja,1,1,Widowed,0,Lawyer,Self Employed,0,0,1,0,0,0,1782014,527,1,3,1,30,3,2,Entertainment,Domestic Airlines,Hobby,18,15,9,61433,38253,31513,40,98467,187341,81749,858752,7,11,3,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']","['home loan', 'health loan']","['travel insurance', 'senior health insurance']","['term account', 'securities account']"
C11122,Male,50-59,59,Ugandan,Silver,3,Hoima,Hoima,0,0,Widowed,2,Lawyer,Partner,0,0,1,0,1,0,2283568,553,1,3,18,15,2,1,Dining,Hobby,Home,18,18,18,71421,32275,23308,40,258150,441379,401949,634161,8,12,3,"['Freedom Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['home loan', 'health loan']","['senior health insurance', 'health insurance']","['term account', 'fixed deposit', 'securities account']"
C11123,Male,30-39,34,Ugandan,Silver,2,Mbarara,Mbarara,0,0,Single,2,Lawyer,Internship Legal Officer,0,0,0,0,1,1,2652200,674,1,3,18,1,2,9,Golf,Dining,Entertainment,24,15,9,58718,41530,34541,34,50186,201527,814637,914219,7,20,3,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']","['home loan', 'car loan']","['travel insurance', 'device cover insurance']","['savings account', 'salary account']"
C11124,Female,30-39,33,Ugandan,Gold,4,Mubende,Mubende,0,0,Married,0,Lawyer,Advocate of High Court,0,0,1,1,1,0,4138913,900,1,3,21,15,30,3,Airlines,Entertainment,Home,15,15,9,159367,54076,46232,73,694635,1058024,791867,1499007,10,19,7,"['Emirates BankBuddy Bank Select Titanium', 'Walmart BankBuddy Signature', 'Uber BankBuddy Credit Card']","['construction loan', 'home loan', 'furniture loan']","['device cover insurance', 'maternity insurance']",['term account']
C11125,Male,>60,87,Ugandan,Silver,3,Masaka,Masaka,1,0,Widowed,3,Lawyer,Partner,0,0,1,1,1,0,2614308,723,2,3,12,12,27,3,Travel,Bills,Golf,30,18,18,85683,77524,63732,59,259109,335062,551252,846739,9,20,5,"['Best Price Save Smart Credit Card', 'MoneyBack Credit Card', 'EasyEMI Card', 'All Miles Credit Card']",['health loan'],"['medical insurance', 'retirement insurance']","['savings account', 'fixed deposit']"
C11126,Male,>60,63,Ugandan,Silver,3,Kampala,Kampala,0,1,Widowed,0,Lawyer,Judge,0,0,1,0,1,0,2052425,803,3,2,27,21,3,1,Home,Hobby,Groceries,27,27,27,60937,35045,20573,57,358354,378322,414445,787179,6,14,5,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card']","['home loan', 'health loan']","['medical insurance', 'senior health insurance']","['savings account', 'fixed deposit']"
C11127,Male,20-29,24,Ugandan,Silver,9,Kira Town,Wakiso,1,1,Married,0,Lawyer,Clerkship,1,0,0,1,1,0,1069829,700,12,1,27,2,12,2,Gym,Train,Groceries,15,12,9,67989,31553,25280,56,408741,494647,558513,647383,7,30,5,"['Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card']","['car loan', 'education loan', 'furniture loan']","['travel insurance', 'device cover insurance']","['savings account', 'salary account']"
C11128,Male,<20,18,Ugandan,Silver,10,Nansana,Wakiso,0,0,Single,0,Lawyer,Law Student,0,0,0,0,0,0,27051,541,1,2,1,2,3,3,Travel,Ecommerce,Train,9,9,3,40981,32829,14444,12,69926,260457,20496,250197,4,9,0,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']","['student loan', 'education loan']","['travel insurance', 'education insurance']",['savings account']
C11129,Male,>60,88,Ugandan,Silver,10,Mubende,Mubende,1,1,Married,2,Lawyer,Public Service,0,0,0,1,0,0,1150100,812,2,3,2,3,30,1,Home,Bills,Domestic Airlines,18,18,6,53299,44364,32584,41,60999,218428,659222,730723,5,19,3,"['EasyEMI Card', 'MoneyBack Credit Card']",['health loan'],['medical insurance'],"['fixed deposit', 'securities account']"
C11130,Male,>60,79,Ugandan,Silver,9,Kasese,Kasese,0,1,Widowed,2,Lawyer,Public Service,1,0,0,1,1,0,1883291,631,30,3,12,3,27,1,Home,Travel,Bills,18,12,6,65405,59261,58144,76,465987,475177,23285,119240,8,11,7,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']",['health loan'],"['senior health insurance', 'retirement insurance']","['no minimum balance', 'fixed deposit']"
C11131,Female,30-39,34,Ugandan,Silver,12,Njeru,Buikwe,1,0,Married,0,Lawyer,Internship Legal Officer,0,1,0,1,0,0,1980073,742,1,12,2,2,30,3,Home,Domestic Airlines,Utilities,15,15,15,99138,39271,23610,50,456419,491245,25892,37724,10,11,4,"['Best Price Save Smart Credit Card', 'MoneyBack Credit Card', 'Freedom Credit Card', 'EasyEMI Card']","['construction loan', 'home loan']","['travel insurance', 'health insurance']","['savings account', 'salary account', 'fixed deposit']"
C11132,Male,50-59,51,Ugandan,Silver,10,Jinja,Jinja,0,0,Married,3,Lawyer,Private Practice,0,0,1,0,1,1,1242713,570,3,3,21,18,3,21,Travel,Bills,Groceries,24,15,9,54902,42078,36182,69,280793,316659,58869,921019,9,18,6,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']","['home loan', 'car loan']","['senior health insurance', 'retirement insurance']","['savings account', 'term account', 'securities account']"
C11133,Male,50-59,59,Ugandan,Silver,9,Mbarara,Mbarara,1,0,Widowed,0,Lawyer,Magistrate Grade,0,0,0,1,1,0,2841859,817,3,3,9,1,24,1,Utilities,Entertainment,Golf,18,15,12,68577,45987,23984,41,248622,321734,697960,778392,5,17,3,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']",['health loan'],"['medical insurance', 'senior health insurance']","['savings account', 'salary account', 'securities account']"
C11134,Male,40-49,47,Ugandan,Silver,10,Mukono Town,Mukono,0,0,Divorced,2,Lawyer,Private Practice,0,1,1,1,1,0,2211599,631,3,15,18,9,9,1,Home,Dining,Domestic Airlines,18,15,12,84302,70901,54108,55,325353,357104,838304,884500,9,20,5,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card']","['home loan', 'furniture loan']","['travel insurance', 'health insurance']","['salary account', 'securities account']"
C11135,Male,40-49,46,Ugandan,Private,5,Masaka,Masaka,0,0,Married,0,Lawyer,Private Practice,0,0,0,1,0,0,824852,936,2,2,3,1,36,3,Home,Lifestyle,Gym,45,18,18,150013,67774,18514,47,230917,1474130,1156363,1309366,5,11,4,"['Infinite Credit Card', 'Diners Club Privilege Credit Card', 'Visa Signature Credit Card', 'Diners ClubMiles Credit Card', 'Emirates BankBuddy Bank Select Titanium', 'Diners Club Premium Credit Card', 'All Miles Credit Card']","['home loan', 'furniture loan']","['medical insurance', 'health insurance']","['term account', 'securities account']"
C11136,Female,30-39,33,Ugandan,Gold,10,Mbarara,Mbarara,1,1,Divorced,3,Lawyer,Advocate of High Court,0,0,1,0,0,1,4130761,825,1,1,1,9,2,15,Home,Utilities,Travel,24,21,9,809008,255361,135519,29,1449495,1471743,1362525,1401072,8,11,2,"['Total BankBuddy Bank Credit Card', 'Emirates BankBuddy Bank Select Titanium', 'Emirates BankBuddy Bank Platinum', 'Walmart BankBuddy Signature']","['construction loan', 'furniture loan', 'car loan']","['travel insurance', 'device cover insurance']","['term account', 'savings account', 'salary account']"
C11137,Male,50-59,51,Ugandan,Silver,4,Lira,Lira,1,1,Widowed,2,Lawyer,C-Level Executive,0,0,0,0,1,0,2894886,733,3,3,24,2,1,3,Dining,Home,Hobby,30,12,12,85466,37252,36294,36,300152,348582,679055,774000,9,20,2,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']",['health loan'],"['medical insurance', 'retirement insurance']","['savings account', 'term account']"
C11138,Male,50-59,56,Ugandan,Silver,9,Masindi,Masindi,1,1,Married,3,Lawyer,Corporate,0,0,1,1,1,0,2977151,552,3,2,18,21,15,1,Travel,Entertainment,Hobby,15,12,9,72937,56689,22617,60,471708,490250,227783,759307,10,20,6,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card']","['home loan', 'car loan', 'health loan']","['retirement insurance', 'health insurance']","['savings account', 'fixed deposit', 'securities account']"
C11139,Male,50-59,58,Ugandan,Gold,14,Kampala,Kampala,1,0,Widowed,2,Lawyer,Magistrate Grade,0,0,0,0,0,0,2301533,816,2,1,1,1,2,3,Golf,Utilities,Bills,15,12,9,637988,95739,79128,10,945984,1082800,669672,1183959,7,13,0,"['Emirates BankBuddy Bank Platinum', 'Emirates BankBuddy Bank Select Titanium', 'Costco BankBuddy Credit Card', 'Total BankBuddy Bank Credit Card']","['home loan', 'car loan']","['medical insurance', 'senior health insurance', 'retirement insurance']","['salary account', 'securities account']"
C11140,Male,50-59,58,Ugandan,Silver,9,Nansana,Wakiso,1,0,Widowed,2,Lawyer,C-Level Executive,0,0,1,0,1,1,2295350,631,2,2,27,15,1,30,Travel,Domestic Airlines,Utilities,30,27,27,99281,63273,35631,77,293077,370972,303482,584105,5,10,8,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['home loan', 'health loan']","['senior health insurance', 'retirement insurance']","['savings account', 'fixed deposit']"
C11141,Female,30-39,30,Ugandan,Silver,1,Mbarara,Mbarara,0,0,Single,2,Lawyer,Internship Legal Officer,1,0,0,0,1,1,2571108,721,27,1,30,3,2,30,Hobby,Home,Bills,18,18,18,88174,58532,50759,93,383025,411933,206678,823265,9,18,9,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card']",['car loan'],"['travel insurance', 'device cover insurance']","['savings account', 'fixed deposit', 'securities account']"
C11142,Male,30-39,39,Ugandan,Silver,4,Lira,Lira,1,0,Divorced,3,Lawyer,Clerkship,0,0,1,0,0,1,2923769,786,3,3,1,27,1,21,Dining,Hobby,Bills,15,9,9,50425,32603,26664,56,371001,489299,618414,682087,7,18,5,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']","['construction loan', 'home loan']",['travel insurance'],"['term account', 'salary account', 'fixed deposit']"
C11143,Female,40-49,48,Ugandan,Silver,5,Kasese,Kasese,1,0,Divorced,2,Lawyer,Advocate of High Court,0,0,0,1,1,0,1823618,846,3,1,12,1,15,1,Dining,Utilities,Golf,24,15,9,90679,71824,45940,33,388241,459596,442428,949088,10,20,3,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']",['home loan'],['medical insurance'],"['savings account', 'salary account']"
C11144,Female,30-39,39,Ugandan,Gold,9,Mukono Town,Mukono,0,1,Divorced,0,Lawyer,Advocate of High Court,0,0,1,1,1,0,3980545,605,1,2,24,9,27,1,Airlines,Utilities,Travel,24,24,15,530885,399246,152647,64,1008362,1365342,631249,863887,9,16,6,"['SouthWest BankBuddy Bank Credit Card', 'Emirates BankBuddy Bank Platinum', 'Costco BankBuddy Credit Card', 'Uber BankBuddy Credit Card']","['construction loan', 'car loan', 'furniture loan']","['device cover insurance', 'maternity insurance']","['savings account', 'salary account', 'securities account']"
C11145,Female,50-59,52,Ugandan,Silver,4,Masindi,Masindi,0,0,Married,2,Lawyer,Corporate,1,0,0,0,1,0,2603391,675,24,1,18,2,1,1,Home,Domestic Airlines,Bills,27,15,12,59928,39802,31382,47,497340,498173,365005,900470,7,12,4,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']",['health loan'],"['medical insurance', 'senior health insurance', 'retirement insurance']","['savings account', 'securities account']"
C11146,Male,<20,16,Ugandan,Gold,10,Mubende,Mubende,0,0,Single,0,Lawyer,Law Student,0,0,0,0,1,0,18422,537,3,1,15,2,1,2,Domestic Airlines,Airlines,Uber,9,6,3,98741,96760,41674,24,607941,971280,429897,1203918,5,5,1,"['Emirates BankBuddy Bank Select Titanium', 'SouthWest BankBuddy Bank Credit Card', 'Uber BankBuddy Credit Card', 'Emirates BankBuddy Bank Platinum', 'Total BankBuddy Bank Credit Card']",['student loan'],"['travel insurance', 'education insurance']","['savings account', 'term account']"
C11147,Female,>60,77,Ugandan,Silver,9,Mubende,Mubende,0,1,Divorced,3,Lawyer,Junior Partner,0,0,1,1,0,1,2173079,735,1,3,3,27,12,9,Domestic Airlines,Home,Groceries,30,24,15,73426,58688,43491,55,438355,450848,304296,990450,7,11,5,"['Freedom Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'Best Price Save Smart Credit Card', 'All Miles Credit Card']",['health loan'],['medical insurance'],"['savings account', 'no minimum balance', 'fixed deposit']"
C11148,Male,30-39,32,Ugandan,Gold,0,Mukono Town,Mukono,0,1,Single,2,Lawyer,Advocate of High Court,0,0,1,1,1,0,2422958,776,1,3,15,18,9,3,Bills,Home,Groceries,15,15,6,254716,86146,84684,49,894465,1483416,324564,1362405,9,12,4,"['Emirates BankBuddy Bank Select Titanium', 'SouthWest BankBuddy Bank Credit Card', 'Uber BankBuddy Credit Card', 'Emirates BankBuddy Bank Platinum', 'Total BankBuddy Bank Credit Card']","['construction loan', 'car loan']","['travel insurance', 'device cover insurance']","['salary account', 'term account', 'securities account']"
C11149,Female,<20,17,Ugandan,Silver,10,Lira,Lira,0,0,Single,0,Lawyer,Law Student,1,0,1,0,0,1,12883,473,3,2,3,15,1,6,Ecommerce,Entertainment,Train,12,9,9,35494,20216,11241,30,59951,420557,81772,313384,4,10,2,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']","['student loan', 'education loan', 'laptop loan']",['education insurance'],"['savings account', 'term account']"
C11150,Male,40-49,40,Ugandan,Gold,10,Kira Town,Wakiso,0,0,Divorced,3,Lawyer,Public Service,0,0,1,1,1,0,3985977,876,1,1,30,30,12,3,Home,Golf,Bills,27,12,12,870270,402287,130548,77,1314854,1450672,1216812,1223532,5,19,8,"['Emirates BankBuddy Bank Select Titanium', 'Total BankBuddy Bank Credit Card', 'SouthWest BankBuddy Bank Credit Card']","['home loan', 'health loan']",['medical insurance'],"['term account', 'securities account']"
C11151,Male,30-39,35,Ugandan,Silver,10,Nansana,Wakiso,1,1,Divorced,3,Lawyer,Clerkship,0,0,0,1,1,0,1278086,580,2,2,30,2,24,3,Groceries,Hobby,Home,21,9,9,81275,57768,52820,63,276942,404420,445749,473138,8,17,6,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']","['construction loan', 'furniture loan', 'car loan']","['travel insurance', 'health insurance']","['savings account', 'salary account']"
C11152,Female,50-59,54,Ugandan,Silver,9,Mukono Town,Mukono,1,0,Widowed,1,Lawyer,Judge,0,0,1,0,0,0,1810124,612,3,2,3,30,1,3,Entertainment,Groceries,Hobby,15,12,12,53885,36535,24798,42,495134,498809,326502,583319,6,20,3,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card']","['home loan', 'health loan']","['medical insurance', 'senior health insurance', 'health insurance']","['savings account', 'securities account']"
C11153,Female,>60,88,Ugandan,Silver,9,Lira,Lira,1,1,Widowed,1,Lawyer,Senior Legal Advisor,0,0,0,0,1,0,2161226,798,3,2,9,1,3,1,Bills,Groceries,Domestic Airlines,24,21,6,87530,83340,67951,19,227071,346427,134810,480278,6,14,1,"['Best Price Save Max Credit Card', 'MoneyBack Credit Card', 'All Miles Credit Card']",['health loan'],['senior health insurance'],"['savings account', 'no minimum balance', 'fixed deposit']"
C11154,Female,>60,62,Ugandan,Silver,9,Mbarara,Mbarara,0,1,Widowed,2,Lawyer,Magistrate Grade,0,1,1,0,0,0,1929103,802,1,21,2,21,3,2,Travel,Bills,Hobby,30,30,21,72879,66942,37177,50,313957,431443,269350,866712,6,17,4,"['Best Price Save Smart Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card']","['home loan', 'health loan']","['senior health insurance', 'retirement insurance']","['savings account', 'fixed deposit', 'securities account']"
C11155,Female,30-39,33,Ugandan,Silver,9,Hoima,Hoima,1,0,Divorced,1,Lawyer,Clerkship,0,0,0,0,1,0,2766352,817,2,1,21,2,3,1,Dining,Domestic Airlines,Home,15,12,9,78612,75689,47784,30,495385,497191,160032,315258,7,17,2,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'MoneyBack Credit Card', 'All Miles Credit Card']","['home loan', 'car loan']","['device cover insurance', 'maternity insurance']","['salary account', 'fixed deposit', 'securities account']"
C11156,Male,>60,89,Ugandan,Silver,1,Mubende,Mubende,0,1,Married,1,Lawyer,Public Service,0,0,1,1,1,1,2138306,614,2,2,9,21,12,18,Domestic Airlines,Dining,Hobby,27,9,6,91379,33615,21646,64,347915,433524,628677,681694,8,17,6,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'EasyEMI Card', 'All Miles Credit Card']",['health loan'],"['senior health insurance', 'health insurance']","['no minimum balance', 'fixed deposit']"
C11157,Female,<20,18,Ugandan,Gold,10,Kasese,Kasese,0,1,Single,0,Lawyer,Law Student,1,0,1,1,0,0,7389,430,15,2,1,9,12,2,Ecommerce,Travel,Food,15,15,3,90951,73164,54208,41,112921,902461,441097,1049238,3,9,4,"['SouthWest BankBuddy Bank Credit Card', 'Bankbuddy Women Credit Card', 'Uber BankBuddy Credit Card', 'Emirates BankBuddy Bank Platinum', 'Emirates BankBuddy Bank Select Titanium']","['student loan', 'education loan']","['device cover insurance', 'education insurance']",['term account']
C11158,Female,>60,74,Ugandan,Silver,10,Njeru,Buikwe,1,0,Widowed,3,Lawyer,Magistrate Grade,0,0,0,0,1,0,1303623,735,1,3,12,2,2,1,Travel,Utilities,Entertainment,21,21,15,62369,59420,39082,21,184243,237830,562236,587506,6,10,1,"['Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']","['home loan', 'health loan']",['medical insurance'],"['fixed deposit', 'securities account']"
C11159,Male,30-39,34,Ugandan,Silver,10,Lugazi,Buikwe,1,0,Single,1,Lawyer,Internship Legal Officer,0,0,1,0,1,0,1845767,696,3,2,30,24,2,2,Domestic Airlines,Bills,Utilities,18,9,6,72927,39901,39561,63,122491,262492,214149,723497,9,18,6,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'Best Price Save Max Credit Card', 'MoneyBack Credit Card']","['car loan', 'home loan', 'furniture loan']","['device cover insurance', 'health insurance']","['savings account', 'salary account']"
C11160,Male,50-59,51,Other,Gold,9,Kira Town,Wakiso,0,1,Widowed,2,Lawyer,Private Practice,0,0,1,1,0,0,1767405,675,2,3,3,9,18,3,Bills,Airlines,Home,24,15,12,205724,112442,108948,38,557993,698022,1109778,1453655,8,19,3,"['Emirates BankBuddy Bank Select Titanium', 'Walmart BankBuddy Signature', 'Uber BankBuddy Credit Card', 'Emirates BankBuddy Bank Platinum', 'Total BankBuddy Bank Credit Card']","['car loan', 'health loan']","['senior health insurance', 'health insurance', 'retirement insurance']","['fixed deposit', 'securities account']"
C11161,Male,50-59,53,Ugandan,Gold,9,Njeru,Buikwe,0,0,Divorced,2,Lawyer,Corporate,0,0,0,0,1,0,3813711,818,1,1,9,2,2,3,Travel,Golf,Entertainment,30,27,6,89659,66839,55618,18,850933,926771,678850,1359289,6,13,1,"['Emirates BankBuddy Bank Platinum', 'Costco BankBuddy Credit Card', 'Uber BankBuddy Credit Card']","['home loan', 'health loan']","['travel insurance', 'senior health insurance', 'health insurance']","['savings account', 'securities account']"
C11162,Female,>60,71,Ugandan,Silver,4,Mityana,Mityana,1,1,Divorced,0,Lawyer,Corporate,0,0,0,1,1,0,1753999,584,2,2,27,3,12,1,Home,Utilities,Bills,18,9,6,70968,41197,22721,47,440261,480756,648274,785931,7,16,4,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card']",['health loan'],"['medical insurance', 'senior health insurance']","['no minimum balance', 'fixed deposit']"
C11163,Female,50-59,52,Ugandan,Gold,3,Mityana,Mityana,0,0,Widowed,1,Lawyer,Corporate,0,0,0,1,1,0,1935076,727,3,3,12,3,15,1,Bills,Hobby,International Airlines,27,24,15,363865,168599,55227,37,888610,1371126,910909,1005679,6,16,3,"['Emirates BankBuddy Bank Select Titanium', 'SouthWest BankBuddy Bank Credit Card', 'Costco BankBuddy Credit Card', 'Uber BankBuddy Credit Card']","['home loan', 'car loan', 'health loan']","['travel insurance', 'senior health insurance']","['salary account', 'securities account']"
C11164,Female,50-59,57,Ugandan,Silver,8,Lugazi,Buikwe,0,0,Divorced,0,Lawyer,Partner,0,0,1,1,1,0,1716660,831,2,3,27,12,18,1,Groceries,Entertainment,Home,27,9,6,60037,49291,36195,63,194383,432610,841698,958332,6,19,6,"['Freedom Credit Card', 'Best Price Save Max Credit Card', 'EasyEMI Card', 'All Miles Credit Card']","['home loan', 'health loan']","['medical insurance', 'senior health insurance']","['savings account', 'fixed deposit']"
C11165,Female,50-59,58,Ugandan,Silver,1,Gulu,Gulu,0,1,Widowed,1,Lawyer,Junior Partner,0,0,1,1,0,0,2298795,795,2,2,1,18,27,3,Domestic Airlines,Groceries,Travel,18,9,9,72387,47061,23896,53,441608,442129,98574,639529,8,16,5,"['Freedom Credit Card', 'EasyEMI Card', 'MoneyBack Credit Card', 'All Miles Credit Card']",['home loan'],"['travel insurance', 'medical insurance']","['savings account', 'salary account']"
C11166,Male,40-49,41,Ugandan,Wealth,12,Lugazi,Buikwe,0,0,Divorced,2,Lawyer,Advocate of High Court,0,1,1,0,0,0,3627951,743,3,30,3,12,2,2,Dining,Travel,Hobby,18,15,6,367140,234478,133081,52,440948,1252601,211174,999169,7,15,4,"['Diners Club Rewardz Credit Card', 'Diners Club Black Credit Card', 'Superia Credit Card', 'Diners Club Premium Credit Card']","['home loan', 'car loan']",['medical insurance'],"['savings account', 'securities account']"
C11167,Male,50-59,53,Ugandan,Gold,10,Masaka,Masaka,0,1,Married,0,Lawyer,Public Service,0,1,0,1,1,0,4411459,948,2,27,21,1,30,2,Utilities,Home,Dining,27,18,9,908880,508291,486195,83,698019,1264121,326749,1309604,10,14,8,"['SouthWest BankBuddy Bank Credit Card', 'Walmart BankBuddy Signature', 'Uber BankBuddy Credit Card', 'Emirates BankBuddy Bank Platinum', 'Total BankBuddy Bank Credit Card']","['home loan', 'car loan']","['medical insurance', 'senior health insurance', 'retirement insurance']","['salary account', 'fixed deposit']"
C11168,Male,>60,61,Ugandan,Silver,9,Mityana,Mityana,1,1,Divorced,2,Lawyer,Corporate,1,0,1,1,1,0,2406753,639,30,3,18,30,12,1,Golf,Home,Groceries,27,21,18,85497,44863,28214,94,452599,455680,495372,720352,10,14,10,"['Best Price Save Smart Credit Card', 'Freedom Credit Card', 'MoneyBack Credit Card']","['home loan', 'health loan']","['medical insurance', 'senior health insurance']","['savings account', 'fixed deposit']"
